2025-11-16T16:28:51.886Z||XHDp2hUVHLc3G4fU||CONF||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"hostId":"node-123.test.test","applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"master","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logLight":false,"logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-11-16 16:28:56.636|http-nio-80-exec-5#44|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"0:0:0:0:0:0:0:1:57482"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-11-16 16:28:56.883|http-nio-80-exec-5#44|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|2|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-11-16 16:28:56.883|http-nio-80-exec-5#44|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|3|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-16 16:28:56.895|http-nio-80-exec-5#44|7EtF9MNh4QdI05nMFLX8Y69RPcG07S9U|4|JSON|UserService.java#io.bitryon.example.web.service.rpc.UserService#save#0#|[{"user":{"name":"br***ng","id":0,"age":1001,"driverLisenceId":"******"}}]
2025-11-16 16:28:57.367|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"0:0:0:0:0:0:0:1:57488"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-11-16 16:28:57.374|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|2|JSON|MedicConditionController.java#io.bitryon.example.web.controller.MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unko**","timeCreated":"1970-01-01 00:00:00.0000","userId":0}]
2025-11-16 16:28:57.375|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|3|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#query#11#|[{"userId":1763310537374,"page":null}]
2025-11-16 16:28:57.375|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|4|JSON|ForStaticMethod.java#io.bitryon.example.web.test.ForStaticMethod#query#11#R|["801a2ce5-9678-4230-b8c3-83584dfe6798"]
2025-11-16 16:28:57.383|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|5|JSON|MedicService.java#io.bitryon.example.web.service.MedicService#save#48#|[{"condition":{"id":123,"deceases":"unko**","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
2025-11-16 16:28:57.384|http-nio-80-exec-6#45|46weJ1kSPWniJRE2CxqVTZF7kfetapqu|6|JSON|MedicDAO.java#io.bitryon.example.web.dao.MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unko**","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
