2025-11-16T16:29:17.863Z||w1vN1MJ2w4NzDJvF||C||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"hostId":"node-123.test.test","applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"master","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logLight":true,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-11-16 16:29:21.915|40|2QCokamwca3jdavw7wsCCDuLsT4lVEZb|1|H|#LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"0:0:0:0:0:0:0:1:57618"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-11-16 16:29:22.191|40|2QCokamwca3jdavw7wsCCDuLsT4lVEZb|2|J|#ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-11-16 16:29:22.191|40|2QCokamwca3jdavw7wsCCDuLsT4lVEZb|3|J|#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-11-16 16:29:22.200|40|2QCokamwca3jdavw7wsCCDuLsT4lVEZb|4|J|#UserService#save#0#|[{"user":{"name":"broking","id":0,"age":1001,"birthday":null,"driverLisenceId":"123456"}}]
2025-11-16 16:29:22.537|42|5P4VT0mIdKn92pmmstlXnq3afvic5ykN|1|H|#LoggingHttpRequestWebReader#readHttpRequest#31|[null,{"remoteHost":"0:0:0:0:0:0:0:1:57619"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-11-16 16:29:22.540|42|5P4VT0mIdKn92pmmstlXnq3afvic5ykN|2|J|#MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-11-16 16:29:22.540|42|5P4VT0mIdKn92pmmstlXnq3afvic5ykN|3|J|#ForStaticMethod#query#11#|[{"userId":1763310562540,"page":null}]
2025-11-16 16:29:22.540|42|5P4VT0mIdKn92pmmstlXnq3afvic5ykN|4|J|#ForStaticMethod#query#11#R|["7c061630-52e8-425c-bf95-5f7841807eaf"]
2025-11-16 16:29:22.548|42|5P4VT0mIdKn92pmmstlXnq3afvic5ykN|5|J|#MedicService#save#48#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-11-16 16:29:22.549|42|5P4VT0mIdKn92pmmstlXnq3afvic5ykN|6|J|#MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
